Time,Spp,Colony,Core,Notes,Treatment,Replicate,Date,Picture,AOI,File ,variable.fragment
0,S.sid,20,20-1,OK,Control ,R1,2017-09-01,1,1,1.csv,Y.II.1
0,S.sid,20,20-2,OK,N ,R1,2017-09-01,1,2,1.csv,Y.II.2
0,S.sid,20,20-3,OK,NP,R1,2017-09-01,1,3,1.csv,Y.II.3
0,S.sid,20,20-4,OK,Control ,R2,2017-09-01,1,4,1.csv,Y.II.4
0,S.sid,20,20-8,OK,N ,R2,2017-09-01,1,5,1.csv,Y.II.5
0,S.sid,20,20-9,OK,NP,R2,2017-09-01,1,6,1.csv,Y.II.6
0,S.sid,20,20-10,OK,Control ,R1,2017-09-01,1,7,1.csv,Y.II.7
0,S.sid,20,20-11,OK,N ,R1,2017-09-01,1,8,1.csv,Y.II.8
0,S.sid,20,20-13,OK,NP,R1,2017-09-01,1,9,1.csv,Y.II.9
0,S.sid,20,20-14,OK,Control ,R2,2017-09-01,1,10,1.csv,Y.II.10
0,S.sid,20,20-15,OK,N ,R2,2017-09-01,1,11,1.csv,Y.II.11
0,S.sid,20,20-17,OK,NP,R2,2017-09-01,1,12,1.csv,Y.II.12
0,S.sid,20,20-19,OK,Control ,R1,2017-09-01,1,13,1.csv,Y.II.13
0,S.sid,20,20-22,OK,N ,R1,2017-09-01,1,14,1.csv,Y.II.14
0,S.sid,20,20-23,OK,NP,R1,2017-09-01,1,15,1.csv,Y.II.15
0,S.sid,20,20-26,OK,Control ,R2,2017-09-01,1,16,1.csv,Y.II.16
0,S.sid,20,20-28,OK,N ,R2,2017-09-01,1,17,1.csv,Y.II.17
0,S.sid,20,20-29,OK,NP,R2,2017-09-01,1,18,1.csv,Y.II.18
0,S.sid,20,20-30,OK,Control ,R1,2017-09-01,1,19,1.csv,Y.II.19
0,S.sid,20,20-32,OK,N ,R1,2017-09-01,1,20,1.csv,Y.II.20
0,S.sid,20,20-33,OK,NP,R1,2017-09-01,1,21,1.csv,Y.II.21
0,S.sid,20,20-34,OK,Control ,R2,2017-09-01,1,22,1.csv,Y.II.22
0,S.sid,20,20-35,OK,N ,R2,2017-09-01,1,23,1.csv,Y.II.23
0,S.sid,20,20-36,OK,NP,R2,2017-09-01,1,24,1.csv,Y.II.24
0,S.sid,20,20-38,OK,Control ,R1,2017-09-01,2,1,2.csv,Y.II.1
0,S.sid,20,20-39,OK,N ,R1,2017-09-01,2,2,2.csv,Y.II.2
