"","Time","Spp","Colony","Core","Notes","Treatment","Replicate","Date","YII"
"1",0,"S.sid",20,"20-1","OK","Control ","R1","2017-09-01",0.567
"2",0,"S.sid",20,"20-2","OK","N ","R1","2017-09-01",0.565
"3",0,"S.sid",20,"20-3","OK","NP","R1","2017-09-01",0.561
"4",0,"S.sid",20,"20-4","OK","Control ","R2","2017-09-01",0.557
"5",0,"S.sid",20,"20-8","OK","N ","R2","2017-09-01",0.552
"6",0,"S.sid",20,"20-9","OK","NP","R2","2017-09-01",0.54
"7",0,"S.sid",20,"20-10","OK","Control ","R1","2017-09-01",0.544
"8",0,"S.sid",20,"20-11","OK","N ","R1","2017-09-01",0.516
"9",0,"S.sid",20,"20-13","OK","NP","R1","2017-09-01",0.504
"10",0,"S.sid",20,"20-14","OK","Control ","R2","2017-09-01",0.523
"11",0,"S.sid",20,"20-15","OK","N ","R2","2017-09-01",0.558
"12",0,"S.sid",20,"20-17","OK","NP","R2","2017-09-01",0.55
"13",0,"S.sid",20,"20-19","OK","Control ","R1","2017-09-01",0.54
"14",0,"S.sid",20,"20-22","OK","N ","R1","2017-09-01",0.531
"15",0,"S.sid",20,"20-23","OK","NP","R1","2017-09-01",0.517
"16",0,"S.sid",20,"20-26","OK","Control ","R2","2017-09-01",0.533
"17",0,"S.sid",20,"20-28","OK","N ","R2","2017-09-01",0.526
"18",0,"S.sid",20,"20-29","OK","NP","R2","2017-09-01",0.529
"19",0,"S.sid",20,"20-30","OK","Control ","R1","2017-09-01",0.509
"20",0,"S.sid",20,"20-32","OK","N ","R1","2017-09-01",0.519
"21",0,"S.sid",20,"20-33","OK","NP","R1","2017-09-01",0.566
"22",0,"S.sid",20,"20-34","OK","Control ","R2","2017-09-01",0.547
"23",0,"S.sid",20,"20-35","OK","N ","R2","2017-09-01",0.516
"24",0,"S.sid",20,"20-36","OK","NP","R2","2017-09-01",0.495
"25",0,"S.sid",20,"20-38","OK","Control ","R1","2017-09-01",0.535
"26",0,"S.sid",20,"20-39","OK","N ","R1","2017-09-01",0.529
"27",0,"S.sid",20,"20-40","OK","NP","R1","2017-09-01",0.525
"28",0,"S.sid",20,"20-41","OK","Control ","R2","2017-09-01",0.537
"29",0,"S.sid",20,"20-42","OK","N ","R2","2017-09-01",0.51
"30",0,"S.sid",20,"20-45","OK","NP","R2","2017-09-01",0.496
"31",0,"S.sid",20,"20-46","OK","Control ","R1","2017-09-01",0.54
"32",0,"S.sid",20,"20-47","OK","N ","R1","2017-09-01",0.514
"33",0,"S.sid",20,"20-48","OK","NP","R1","2017-09-01",0.546
"34",0,"S.sid",20,"20-49","OK","Control ","R2","2017-09-01",0.544
"35",0,"S.sid",20,"20-50","OK","N ","R2","2017-09-01",0.533
"36",0,"S.sid",20,"20-51","OK","NP","R2","2017-09-01",0.539
"37",0,"S.sid",20,"20-52","OK","Control ","R1","2017-09-01",0.532
"38",0,"S.sid",20,"20-53","OK","N ","R1","2017-09-01",0.479
"39",0,"S.sid",20,"20-54","OK","NP","R1","2017-09-01",0.526
"40",0,"S.sid",20,"20-55","OK","Control ","R2","2017-09-01",0.498
"41",0,"S.sid",20,"20-56","OK","N ","R2","2017-09-01",0.527
"42",0,"S.sid",20,"20-57","OK","NP","R2","2017-09-01",0.48
"43",0,"S.sid",20,"20-58","OK","Control ","R1","2017-09-01",0.539
"44",0,"S.sid",20,"20-59","OK","N ","R1","2017-09-01",0.451
"45",0,"S.sid",20,"20-60","OK","NP","R1","2017-09-01",0.532
"46",0,"S.sid",20,"20-61","OK","Control ","R2","2017-09-01",0.504
"47",0,"S.sid",20,"20-62","OK","N ","R2","2017-09-01",0.498
"48",0,"S.sid",20,"20-63","OK","NP","R2","2017-09-01",0.456
"49",0,"S.sid",20,"20-64","OK","Control ","R1","2017-09-01",0.52
"50",0,"S.sid",20,"20-65","OK","N ","R1","2017-09-01",0.525
"51",0,"S.sid",20,"20-66","OK","NP","R1","2017-09-01",0.477
"52",0,"S.sid",20,"20-67","OK","Control ","R2","2017-09-01",0.465
"53",0,"S.sid",20,"20-68","OK","N ","R2","2017-09-01",0.499
"54",0,"S.sid",20,"20-69","OK","NP","R2","2017-09-01",0.522
"55",0,"S.sid",20,"20-70","OK","Control ","R1","2017-09-01",0.517
"56",0,"S.sid",20,"20-71","OK","N ","R1","2017-09-01",0.468
"57",0,"S.sid",20,"20-72","OK","NP","R1","2017-09-01",0.534
"58",0,"S.sid",20,"20-73","OK","Control ","R2","2017-09-01",0.447
"59",0,"S.sid",20,"20-74","OK","N ","R2","2017-09-01",0.527
"60",0,"S.sid",20,"20-76","OK","NP","R2","2017-09-01",0.519
"61",0,"S.sid",20,"20-77","OK","Control ","R1","2017-09-01",0.45
"62",0,"S.sid",20,"20-78","OK","N ","R1","2017-09-01",0.514
"63",0,"S.sid",20,"20-79","OK","NP","R1","2017-09-01",0.48
"64",0,"S.sid",20,"20-80","OK","Control ","R2","2017-09-01",0.445
"65",0,"S.sid",20,"20-81","OK","N ","R2","2017-09-01",0.541
"66",0,"S.sid",20,"20-82","OK","NP","R2","2017-09-01",0.51
"67",0,"S.sid",20,"20-83","OK","Control ","R1","2017-09-01",0.529
"68",0,"S.sid",20,"20-84","OK","N ","R1","2017-09-01",0.52
